Date,Price,Open,High,Low,Vol.,Change %
01/01/2025,94560.2,93557.3,95100.0,92939.3,43.34K,1.07%
12/31/2024,93557.2,92777.2,96163.4,92036.2,74.85K,0.84%
12/30/2024,92779.8,93718.7,94936.4,91522.3,112.43K,-1.00%
12/29/2024,93716.3,95282.6,95315.4,93026.7,47.71K,-1.65%
12/28/2024,95284.5,94274.9,95684.3,94124.7,32.97K,1.07%
12/27/2024,94275.9,95776.4,97243.3,93472.8,85.12K,-1.57%
12/26/2024,95777.7,99389.4,99922.5,95193.3,74.60K,-3.64%
12/25/2024,99391.3,98661.9,99514.1,97651.9,39.80K,0.73%
12/24/2024,98668.1,94852.8,99446.6,93566.2,69.86K,4.02%
12/23/2024,94852.1,95184.8,96517.8,92543.2,133.24K,-0.35%
12/22/2024,95183.8,97281.6,97422.2,94265.2,100.64K,-2.13%
12/21/2024,97253.3,97799.1,99531.9,96478.6,123.36K,-0.55%
12/20/2024,97795.7,97468.3,98178.2,92301.9,221.18K,0.34%
12/19/2024,97466.1,100190.5,102778.8,95672.2,200.57K,-2.73%
12/18/2024,100197.8,106140.7,106477.6,100049.3,187.49K,-5.60%
12/17/2024,106138.9,106053.4,108244.9,105350.6,149.37K,0.08%
12/16/2024,106057.6,104479.2,107767.6,103351.7,232.66K,1.55%
12/15/2024,104443.0,101417.9,105120.9,101234.9,133.99K,2.98%
12/14/2024,101417.7,101423.7,102633.0,100626.3,105.31K,-0.01%
12/13/2024,101426.2,100008.3,101891.2,99214.2,162.40K,1.42%
12/12/2024,100009.9,101126.3,102495.3,99334.5,188.96K,-1.10%
12/11/2024,101126.2,96603.2,101877.1,95689.5,250.02K,4.69%
12/10/2024,96600.3,97311.5,98237.8,94304.5,271.45K,-0.78%
12/09/2024,97359.4,101129.7,101198.6,94395.8,321.01K,-3.72%
12/08/2024,101115.8,99837.0,101339.9,98713.9,128.93K,1.28%
12/07/2024,99837.0,99757.2,100441.8,98969.0,118.44K,0.08%
12/06/2024,99760.7,96968.9,101908.5,96452.0,213.49K,2.88%
12/05/2024,96970.8,98624.8,103719.4,92510.4,245.79K,-1.69%
12/04/2024,98635.8,95900.1,99030.7,94625.3,113.77K,2.85%
12/03/2024,95898.7,95843.9,96245.0,93646.1,95.08K,0.05%
12/02/2024,95846.6,97199.3,98082.0,94510.6,95.80K,-1.39%
12/01/2024,97201.4,96404.7,97813.9,95721.8,42.90K,0.83%
11/30/2024,96405.7,97438.5,97461.9,96119.6,36.92K,-1.06%
11/29/2024,97438.0,95645.6,98599.8,95405.7,76.54K,1.87%
11/28/2024,95645.5,95881.4,96549.0,94648.8,68.17K,-0.25%
11/27/2024,95886.6,91975.5,97219.8,91795.5,106.39K,4.25%
11/26/2024,91977.6,93046.5,94978.8,90817.2,131.88K,-1.17%
11/25/2024,93064.4,97948.8,98872.4,92875.3,124.98K,-4.97%
11/24/2024,97935.2,97696.4,98552.6,95765.4,77.04K,0.24%
11/23/2024,97699.0,98927.2,98927.2,97180.9,72.17K,-1.24%
11/22/2024,98929.7,98381.2,99617.4,97182.2,132.23K,0.56%
11/21/2024,98374.5,94308.7,98937.2,94063.8,179.07K,4.32%
11/20/2024,94303.9,92252.6,94836.1,91517.4,121.46K,2.24%
11/19/2024,92239.2,90482.1,93918.5,90378.7,146.04K,1.95%
11/18/2024,90478.7,89843.3,92567.1,89410.4,150.47K,0.72%
11/17/2024,89833.7,90569.4,91441.6,88736.1,81.24K,-0.78%
11/16/2024,90539.1,91035.3,91748.9,90079.0,79.82K,-0.56%
11/15/2024,91046.5,87297.2,91833.1,87118.8,158.19K,4.30%
11/14/2024,87294.0,90424.8,91726.7,86740.2,153.34K,-3.46%
11/13/2024,90422.2,87971.2,93226.6,86168.4,257.57K,2.82%
11/12/2024,87941.3,88665.0,89929.6,85122.2,288.68K,-0.82%
11/11/2024,88664.1,80389.0,89519.0,80231.8,254.04K,10.29%
11/10/2024,80388.5,76681.4,81373.5,76520.5,193.83K,4.81%
11/09/2024,76700.3,76506.1,76904.0,75732.5,72.97K,0.24%
11/08/2024,76517.3,75869.8,77188.5,75599.0,155.17K,0.85%
11/07/2024,75868.6,75585.5,76837.8,74448.2,184.16K,0.37%
11/06/2024,75586.3,69374.1,76401.4,69323.0,357.28K,8.96%
11/05/2024,69373.7,67848.3,70495.6,67473.6,108.95K,2.25%
11/04/2024,67848.8,68770.3,69483.4,66834.0,101.31K,-1.34%
11/03/2024,68769.6,69334.8,69383.6,67514.2,83.16K,-0.80%
11/02/2024,69325.8,69499.3,69896.9,69029.0,38.72K,-0.26%
11/01/2024,69507.2,70278.7,71598.4,68846.0,130.46K,-1.10%
10/31/2024,70281.8,72343.7,72685.7,69674.5,111.29K,-2.86%
10/30/2024,72347.8,72732.5,72907.4,71460.0,99.05K,-0.53%
10/29/2024,72730.4,69957.2,73569.4,69753.2,168.60K,3.97%
10/28/2024,69954.1,68011.9,70203.4,67610.0,103.97K,2.87%
10/27/2024,68004.6,67084.7,68308.0,66924.6,33.58K,1.37%
10/26/2024,67086.8,66694.5,67408.4,66443.8,42.05K,0.58%
10/25/2024,66696.8,68191.9,68756.8,65644.2,110.51K,-2.19%
10/24/2024,68191.5,66659.2,68831.8,66510.6,82.78K,2.29%
10/23/2024,66663.7,67428.6,67441.1,65246.7,84.99K,-1.13%
10/22/2024,67427.3,67370.8,67815.3,66609.4,86.76K,0.08%
10/21/2024,67371.3,69030.5,69490.8,66845.5,109.28K,-2.40%
10/20/2024,69030.5,68373.3,69386.4,67443.9,44.92K,0.96%
